method,test_loss,test_accuracy
gaussian_noise,0.5650,0.657900
salt_and_pepper,1.4026,0.473700
gaussian_blur,0.5154,0.842100
brightness_contrast,0.6134,0.657900
rotation,0.4986,0.763200
perspective_warp,0.5143,0.763200
barrel_distortion,0.7153,0.552600
pixelation,0.5445,0.736800
gaussian_noise_snr_5db,0.9224,0.500000
gaussian_noise_snr_10db,0.5895,0.578900
gaussian_noise_snr_15db,0.5224,0.710500
gaussian_noise_snr_20db,0.5131,0.763200
gaussian_noise_snr_30db,0.5051,0.789500
salt_and_pepper_density_0_01,0.5256,0.763200
salt_and_pepper_density_0_03,1.2225,0.552600
salt_and_pepper_density_0_05,1.5067,0.473700
salt_and_pepper_density_0_10,2.1084,0.447400
gaussian_blur_sigma_0_5,0.4976,0.789500
gaussian_blur_sigma_1_0,0.4897,0.763200
gaussian_blur_sigma_1_5,0.4872,0.789500
gaussian_blur_sigma_2_0,0.5003,0.763200
gaussian_blur_sigma_3_0,0.5099,0.763200
