source,TT_percent,TF_percent,FT_percent,FF_percent,total
clean original,52.63,7.89,13.16,26.32,38
barrel_distortion distorted,28.95,31.58,13.16,26.32,38
barrel_distortion restored,52.63,7.89,18.42,21.05,38
brightness_contrast distorted,47.37,13.16,28.95,10.53,38
brightness_contrast restored,55.26,5.26,26.32,13.16,38
gaussian_blur distorted,60.53,0.00,39.47,0.00,38
gaussian_blur restored,60.53,0.00,39.47,0.00,38
gaussian_noise distorted,57.89,2.63,26.32,13.16,38
gaussian_noise restored,60.53,0.00,31.58,7.89,38
perspective_warp distorted,18.42,42.11,2.63,36.84,38
perspective_warp restored,52.63,7.89,13.16,26.32,38
pixelation distorted,60.53,0.00,39.47,0.00,38
pixelation restored,60.53,0.00,39.47,0.00,38
rotation distorted,50.00,10.53,13.16,26.32,38
rotation restored,50.00,10.53,13.16,26.32,38
salt_and_pepper distorted,5.26,55.26,0.00,39.47,38
salt_and_pepper restored,57.89,2.63,23.68,15.79,38
