Super-Resolution on Restoration Images

image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
barrel_distortion_restored.png,nearest,268.8442,16.3965,7.5996,23.8358,0.971517,97.02
barrel_distortion_restored.png,bilinear,207.5214,14.4056,7.0700,24.9602,0.977202,97.23
barrel_distortion_restored.png,bicubic,147.0742,12.1274,5.7302,26.4554,0.984263,97.75
barrel_distortion_restored.png,lanczos,123.3784,11.1076,5.1722,27.2184,0.986909,97.97
barrel_distortion_restored.png,sharpened_lanczos,181.8016,13.4834,7.0029,25.5348,0.982316,97.25
brightness_contrast_restored.png,nearest,332.0726,18.2229,8.2366,22.9185,0.975423,96.77
brightness_contrast_restored.png,bilinear,261.2013,16.1617,8.0227,23.9611,0.979965,96.85
brightness_contrast_restored.png,bicubic,173.7884,13.1829,6.4173,25.7306,0.987014,97.48
brightness_contrast_restored.png,lanczos,143.0277,11.9594,5.9178,26.5766,0.989407,97.68
brightness_contrast_restored.png,sharpened_lanczos,193.8731,13.9238,7.9980,25.2556,0.986788,96.86
gaussian_blur_restored.png,nearest,33.0978,5.7531,3.3795,32.9328,0.995769,98.67
gaussian_blur_restored.png,bilinear,6.3206,2.5141,1.6355,40.1232,0.999183,99.36
gaussian_blur_restored.png,bicubic,3.0062,1.7338,1.0328,43.3507,0.999615,99.59
gaussian_blur_restored.png,lanczos,2.7949,1.6718,0.9846,43.6671,0.999643,99.61
gaussian_blur_restored.png,sharpened_lanczos,18.5203,4.3035,2.4884,35.4543,0.997696,99.02
gaussian_noise_restored.png,nearest,113.7919,10.6673,5.9655,27.5697,0.986318,97.66
gaussian_noise_restored.png,bilinear,52.5535,7.2494,4.2147,30.9248,0.993695,98.35
gaussian_noise_restored.png,bicubic,20.4333,4.5203,2.7596,35.0274,0.997723,98.92
gaussian_noise_restored.png,lanczos,10.4267,3.2290,2.0760,37.9494,0.998923,99.19
gaussian_noise_restored.png,sharpened_lanczos,106.0436,10.2977,5.9225,27.8760,0.988479,97.68
perspective_warp_restored.png,nearest,242.2736,15.5651,7.4711,24.2877,0.974892,97.07
perspective_warp_restored.png,bilinear,180.4113,13.4317,6.7732,25.5682,0.980538,97.34
perspective_warp_restored.png,bicubic,104.9008,10.2421,5.0711,27.9230,0.988998,98.01
perspective_warp_restored.png,lanczos,73.5474,8.5760,4.2255,29.4651,0.992359,98.34
perspective_warp_restored.png,sharpened_lanczos,136.4904,11.6829,6.3683,26.7798,0.987006,97.50
pixelation_restored.png,nearest,105.8688,10.2893,3.9181,27.8831,0.982131,98.46
pixelation_restored.png,bilinear,112.5485,10.6089,4.7181,27.6174,0.980814,98.15
pixelation_restored.png,bicubic,99.8036,9.9902,4.5056,28.1393,0.983093,98.23
pixelation_restored.png,lanczos,97.2264,9.8603,4.7355,28.2530,0.983562,98.14
pixelation_restored.png,sharpened_lanczos,111.0385,10.5375,5.7359,27.6761,0.981835,97.75
rotation_restored.png,nearest,245.6929,15.6746,7.5097,24.2269,0.974538,97.06
rotation_restored.png,bilinear,185.5796,13.6228,6.8488,25.4455,0.979980,97.31
rotation_restored.png,bicubic,109.7310,10.4753,5.1719,27.7275,0.988492,97.97
rotation_restored.png,lanczos,78.3960,8.8542,4.3622,29.1879,0.991855,98.29
rotation_restored.png,sharpened_lanczos,138.9962,11.7897,6.4095,26.7008,0.986768,97.49
salt_and_pepper_restored.png,nearest,169.6124,13.0235,5.8077,25.8362,0.981420,97.72
salt_and_pepper_restored.png,bilinear,112.5543,10.6092,5.0965,27.6172,0.987275,98.00
salt_and_pepper_restored.png,bicubic,65.0733,8.0668,3.7459,29.9968,0.992813,98.53
salt_and_pepper_restored.png,lanczos,47.1880,6.8694,3.2234,31.3925,0.994827,98.74
salt_and_pepper_restored.png,sharpened_lanczos,110.7883,10.5256,5.6622,27.6859,0.988779,97.78
