distortion_type,level,method,image_type,reconstruction_method,psnr,ssim,reconstruction_score
gaussian_noise_snr,5db,gaussian_noise_snr_5db,distorted,nearest,17.0203,0.914307,89.24
gaussian_noise_snr,5db,gaussian_noise_snr_5db,distorted,bilinear,16.9849,0.913216,88.91
gaussian_noise_snr,5db,gaussian_noise_snr_5db,distorted,bicubic,17.3365,0.925316,89.44
gaussian_noise_snr,5db,gaussian_noise_snr_5db,distorted,lanczos,17.4569,0.929446,89.61
gaussian_noise_snr,5db,gaussian_noise_snr_5db,distorted,sharpened_lanczos,17.2495,0.930327,89.83
gaussian_noise_snr,5db,gaussian_noise_snr_5db,restored,nearest,27.3707,0.984809,97.3
gaussian_noise_snr,5db,gaussian_noise_snr_5db,restored,bilinear,30.1571,0.992465,97.98
gaussian_noise_snr,5db,gaussian_noise_snr_5db,restored,bicubic,33.6969,0.997039,98.6
gaussian_noise_snr,5db,gaussian_noise_snr_5db,restored,lanczos,36.0747,0.998455,98.9
gaussian_noise_snr,5db,gaussian_noise_snr_5db,restored,sharpened_lanczos,27.3511,0.986312,97.26
gaussian_noise_snr,10db,gaussian_noise_snr_10db,distorted,nearest,20.4041,0.955771,93.05
gaussian_noise_snr,10db,gaussian_noise_snr_10db,distorted,bilinear,20.6508,0.959266,92.98
gaussian_noise_snr,10db,gaussian_noise_snr_10db,distorted,bicubic,21.2903,0.968416,93.47
gaussian_noise_snr,10db,gaussian_noise_snr_10db,distorted,lanczos,21.5484,0.971743,93.64
gaussian_noise_snr,10db,gaussian_noise_snr_10db,distorted,sharpened_lanczos,20.9873,0.967954,93.47
gaussian_noise_snr,10db,gaussian_noise_snr_10db,restored,nearest,27.5616,0.986155,97.62
gaussian_noise_snr,10db,gaussian_noise_snr_10db,restored,bilinear,30.8484,0.993562,98.3
gaussian_noise_snr,10db,gaussian_noise_snr_10db,restored,bicubic,34.8815,0.99766,98.88
gaussian_noise_snr,10db,gaussian_noise_snr_10db,restored,lanczos,37.7189,0.998876,99.15
gaussian_noise_snr,10db,gaussian_noise_snr_10db,restored,sharpened_lanczos,27.8126,0.988217,97.63
gaussian_noise_snr,15db,gaussian_noise_snr_15db,distorted,nearest,22.7809,0.969612,95.17
gaussian_noise_snr,15db,gaussian_noise_snr_15db,distorted,bilinear,23.4475,0.974485,95.27
gaussian_noise_snr,15db,gaussian_noise_snr_15db,distorted,bicubic,24.6012,0.982632,95.77
gaussian_noise_snr,15db,gaussian_noise_snr_15db,distorted,lanczos,25.1439,0.985687,95.97
gaussian_noise_snr,15db,gaussian_noise_snr_15db,distorted,sharpened_lanczos,23.9489,0.980675,95.52
gaussian_noise_snr,15db,gaussian_noise_snr_15db,restored,nearest,27.5756,0.986661,97.74
gaussian_noise_snr,15db,gaussian_noise_snr_15db,restored,bilinear,31.0295,0.993905,98.43
gaussian_noise_snr,15db,gaussian_noise_snr_15db,restored,bicubic,35.2755,0.997834,98.99
gaussian_noise_snr,15db,gaussian_noise_snr_15db,restored,lanczos,38.3608,0.998996,99.25
gaussian_noise_snr,15db,gaussian_noise_snr_15db,restored,sharpened_lanczos,28.0134,0.98905,97.77
gaussian_noise_snr,20db,gaussian_noise_snr_20db,distorted,nearest,23.9853,0.974201,96.24
gaussian_noise_snr,20db,gaussian_noise_snr_20db,distorted,bilinear,25.0058,0.97947,96.44
gaussian_noise_snr,20db,gaussian_noise_snr_20db,distorted,bicubic,26.7032,0.987272,96.99
gaussian_noise_snr,20db,gaussian_noise_snr_20db,distorted,lanczos,27.6125,0.990233,97.22
gaussian_noise_snr,20db,gaussian_noise_snr_20db,distorted,sharpened_lanczos,25.6846,0.984908,96.56
gaussian_noise_snr,20db,gaussian_noise_snr_20db,restored,nearest,27.5669,0.986939,97.79
