source,group,image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
Clean,Clean,,nearest,220.8784,14.8620,7.1610,24.6893,0.976723,97.19
Clean,Clean,,bilinear,163.4758,12.7858,6.3842,25.9963,0.982120,97.50
Clean,Clean,,bicubic,97.3954,9.8689,4.8489,28.2454,0.989627,98.10
Clean,Clean,,lanczos,70.9715,8.4245,4.1371,29.6200,0.992508,98.38
Clean,Clean,,sharpened_lanczos,133.6529,11.5608,6.3612,26.8710,0.987052,97.51
barrel_distortion,Distortions,barrel_distortion.png,nearest,238.9933,15.4594,6.5100,24.3469,0.972708,97.45
barrel_distortion,Distortions,barrel_distortion.png,bilinear,199.5262,14.1254,6.0944,25.1308,0.976451,97.61
barrel_distortion,Distortions,barrel_distortion.png,bicubic,141.3816,11.8904,4.9255,26.6269,0.983693,98.07
barrel_distortion,Distortions,barrel_distortion.png,lanczos,117.7355,10.8506,4.4549,27.4217,0.986524,98.25
barrel_distortion,Distortions,barrel_distortion.png,sharpened_lanczos,162.0857,12.7313,6.1015,26.0334,0.982890,97.61
barrel_distortion_restored,Restoration,barrel_distortion_restored.png,nearest,268.8442,16.3965,7.5996,23.8358,0.971517,97.02
barrel_distortion_restored,Restoration,barrel_distortion_restored.png,bilinear,207.5214,14.4056,7.0700,24.9602,0.977202,97.23
barrel_distortion_restored,Restoration,barrel_distortion_restored.png,bicubic,147.0742,12.1274,5.7302,26.4554,0.984263,97.75
barrel_distortion_restored,Restoration,barrel_distortion_restored.png,lanczos,123.3784,11.1076,5.1722,27.2184,0.986909,97.97
barrel_distortion_restored,Restoration,barrel_distortion_restored.png,sharpened_lanczos,181.8016,13.4834,7.0029,25.5348,0.982316,97.25
brightness_contrast,Distortions,brightness_contrast.png,nearest,459.0688,21.4259,9.3319,21.5120,0.975405,96.34
brightness_contrast,Distortions,brightness_contrast.png,bilinear,377.7893,19.4368,9.6813,22.3583,0.979041,96.20
brightness_contrast,Distortions,brightness_contrast.png,bicubic,248.7175,15.7708,7.3386,24.1737,0.986489,97.12
brightness_contrast,Distortions,brightness_contrast.png,lanczos,201.3507,14.1898,6.5058,25.0913,0.989125,97.45
brightness_contrast,Distortions,brightness_contrast.png,sharpened_lanczos,183.1206,13.5322,6.0647,25.5034,0.990574,97.62
brightness_contrast_restored,Restoration,brightness_contrast_restored.png,nearest,332.0726,18.2229,8.2366,22.9185,0.975423,96.77
brightness_contrast_restored,Restoration,brightness_contrast_restored.png,bilinear,261.2013,16.1617,8.0227,23.9611,0.979965,96.85
brightness_contrast_restored,Restoration,brightness_contrast_restored.png,bicubic,173.7884,13.1829,6.4173,25.7306,0.987014,97.48
brightness_contrast_restored,Restoration,brightness_contrast_restored.png,lanczos,143.0277,11.9594,5.9178,26.5766,0.989407,97.68
brightness_contrast_restored,Restoration,brightness_contrast_restored.png,sharpened_lanczos,193.8731,13.9238,7.9980,25.2556,0.986788,96.86
gaussian_blur,Distortions,gaussian_blur.png,nearest,11.9052,3.4504,2.1121,37.3734,0.998191,99.17
gaussian_blur,Distortions,gaussian_blur.png,bilinear,0.9746,0.9872,0.5990,48.2426,0.999851,99.77
gaussian_blur,Distortions,gaussian_blur.png,bicubic,0.2500,0.5000,0.2454,54.1517,0.999962,99.90
gaussian_blur,Distortions,gaussian_blur.png,lanczos,0.2723,0.5218,0.2646,53.7800,0.999959,99.90
gaussian_blur,Distortions,gaussian_blur.png,sharpened_lanczos,2.6198,1.6186,0.6573,43.9481,0.999604,99.74
gaussian_blur_restored,Restoration,gaussian_blur_restored.png,nearest,33.0978,5.7531,3.3795,32.9328,0.995769,98.67
gaussian_blur_restored,Restoration,gaussian_blur_restored.png,bilinear,6.3206,2.5141,1.6355,40.1232,0.999183,99.36
gaussian_blur_restored,Restoration,gaussian_blur_restored.png,bicubic,3.0062,1.7338,1.0328,43.3507,0.999615,99.59
gaussian_blur_restored,Restoration,gaussian_blur_restored.png,lanczos,2.7949,1.6718,0.9846,43.6671,0.999643,99.61
gaussian_blur_restored,Restoration,gaussian_blur_restored.png,sharpened_lanczos,18.5203,4.3035,2.4884,35.4543,0.997696,99.02
gaussian_noise,Distortions,gaussian_noise.png,nearest,503.9519,22.4489,16.0468,21.1069,0.960725,93.71
gaussian_noise,Distortions,gaussian_noise.png,bilinear,465.5869,21.5775,16.0992,21.4508,0.964740,93.69
gaussian_noise,Distortions,gaussian_noise.png,bicubic,391.7885,19.7936,14.8570,22.2003,0.973542,94.17
gaussian_noise,Distortions,gaussian_noise.png,lanczos,364.5309,19.0927,14.3969,22.5135,0.976771,94.35
gaussian_noise,Distortions,gaussian_noise.png,sharpened_lanczos,427.4339,20.6745,15.0389,21.8221,0.972509,94.10
gaussian_noise_restored,Restoration,gaussian_noise_restored.png,nearest,113.7919,10.6673,5.9655,27.5697,0.986318,97.66
gaussian_noise_restored,Restoration,gaussian_noise_restored.png,bilinear,52.5535,7.2494,4.2147,30.9248,0.993695,98.35
