source,group,image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
Clean,Clean,,nearest,220.8784,14.8620,7.1610,24.6893,0.976723,97.19
Clean,Clean,,bilinear,163.4758,12.7858,6.3842,25.9963,0.982120,97.50
Clean,Clean,,bicubic,97.3954,9.8689,4.8489,28.2454,0.989627,98.10
Clean,Clean,,lanczos,70.9715,8.4245,4.1371,29.6200,0.992508,98.38
Clean,Clean,,sharpened_lanczos,133.6529,11.5608,6.3612,26.8710,0.987052,97.51
barrel_distortion,Distortions vs Original,barrel_distortion.png,nearest,2243.8628,47.3694,22.8523,14.6208,0.749762,91.04
barrel_distortion,Distortions vs Original,barrel_distortion.png,bilinear,2012.9774,44.8662,21.4744,15.0924,0.768153,91.58
barrel_distortion,Distortions vs Original,barrel_distortion.png,bicubic,2141.5610,46.2770,22.1747,14.8235,0.758747,91.30
barrel_distortion,Distortions vs Original,barrel_distortion.png,lanczos,2193.6494,46.8364,22.4287,14.7191,0.754866,91.20
barrel_distortion,Distortions vs Original,barrel_distortion.png,sharpened_lanczos,2790.2312,52.8226,26.0804,13.6744,0.715317,89.77
barrel_distortion_restored,Restoration vs Original,barrel_distortion_restored.png,nearest,979.2551,31.2931,14.4727,18.2218,0.896258,94.32
barrel_distortion_restored,Restoration vs Original,barrel_distortion_restored.png,bilinear,788.9447,28.0882,13.7080,19.1603,0.913340,94.62
barrel_distortion_restored,Restoration vs Original,barrel_distortion_restored.png,bicubic,850.8873,29.1700,13.8948,18.8321,0.908965,94.55
barrel_distortion_restored,Restoration vs Original,barrel_distortion_restored.png,lanczos,883.7492,29.7279,14.0588,18.6675,0.906243,94.49
barrel_distortion_restored,Restoration vs Original,barrel_distortion_restored.png,sharpened_lanczos,1299.9346,36.0546,17.1475,16.9916,0.873858,93.28
brightness_contrast,Distortions vs Original,brightness_contrast.png,nearest,1676.3445,40.9432,24.6593,15.8872,0.863266,90.33
brightness_contrast,Distortions vs Original,brightness_contrast.png,bilinear,1411.4667,37.5695,23.6471,16.6341,0.878036,90.73
brightness_contrast,Distortions vs Original,brightness_contrast.png,bicubic,1447.2535,38.0428,23.5334,16.5254,0.877554,90.77
brightness_contrast,Distortions vs Original,brightness_contrast.png,lanczos,1454.3341,38.1357,23.5134,16.5042,0.877567,90.78
brightness_contrast,Distortions vs Original,brightness_contrast.png,sharpened_lanczos,1819.9573,42.6610,25.6889,15.5302,0.858578,89.93
brightness_contrast_restored,Restoration vs Original,brightness_contrast_restored.png,nearest,1047.7456,32.3689,22.7677,17.9282,0.897412,91.07
brightness_contrast_restored,Restoration vs Original,brightness_contrast_restored.png,bilinear,897.2909,29.9548,22.5644,18.6015,0.908157,91.15
brightness_contrast_restored,Restoration vs Original,brightness_contrast_restored.png,bicubic,885.0305,29.7495,21.9984,18.6612,0.910462,91.37
brightness_contrast_restored,Restoration vs Original,brightness_contrast_restored.png,lanczos,881.7557,29.6944,21.8757,18.6773,0.911126,91.42
brightness_contrast_restored,Restoration vs Original,brightness_contrast_restored.png,sharpened_lanczos,1235.2305,35.1458,24.4276,17.2133,0.887612,90.42
gaussian_blur,Distortions vs Original,gaussian_blur.png,nearest,965.6611,31.0751,17.5108,18.2826,0.881254,93.13
gaussian_blur,Distortions vs Original,gaussian_blur.png,bilinear,976.9081,31.2555,17.7041,18.2323,0.879503,93.06
gaussian_blur,Distortions vs Original,gaussian_blur.png,bicubic,946.1782,30.7600,17.3228,18.3711,0.883634,93.21
gaussian_blur,Distortions vs Original,gaussian_blur.png,lanczos,940.5980,30.6692,17.2614,18.3968,0.884357,93.23
gaussian_blur,Distortions vs Original,gaussian_blur.png,sharpened_lanczos,897.3318,29.9555,16.8774,18.6013,0.890215,93.38
gaussian_blur_restored,Restoration vs Original,gaussian_blur_restored.png,nearest,682.9805,26.1339,14.2652,19.7867,0.921915,94.41
gaussian_blur_restored,Restoration vs Original,gaussian_blur_restored.png,bilinear,679.9738,26.0763,14.2865,19.8059,0.921561,94.40
gaussian_blur_restored,Restoration vs Original,gaussian_blur_restored.png,bicubic,646.3363,25.4231,13.8843,20.0262,0.926047,94.56
gaussian_blur_restored,Restoration vs Original,gaussian_blur_restored.png,lanczos,637.7358,25.2534,13.7789,20.0844,0.927117,94.60
gaussian_blur_restored,Restoration vs Original,gaussian_blur_restored.png,sharpened_lanczos,567.0397,23.8126,13.0975,20.5947,0.936772,94.86
gaussian_noise,Distortions vs Original,gaussian_noise.png,nearest,320.6220,17.9059,12.4890,23.0709,0.967347,95.10
gaussian_noise,Distortions vs Original,gaussian_noise.png,bilinear,246.3849,15.6967,11.4191,24.2147,0.972568,95.52
gaussian_noise,Distortions vs Original,gaussian_noise.png,bicubic,188.6948,13.7366,10.3075,25.3732,0.980754,95.96
gaussian_noise,Distortions vs Original,gaussian_noise.png,lanczos,169.1051,13.0040,9.9755,25.8492,0.983569,96.09
