Super-Resolution on Distortions Images

image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
barrel_distortion.png,nearest,238.9933,15.4594,6.5100,24.3469,0.972708,97.45
barrel_distortion.png,bilinear,199.5262,14.1254,6.0944,25.1308,0.976451,97.61
barrel_distortion.png,bicubic,141.3816,11.8904,4.9255,26.6269,0.983693,98.07
barrel_distortion.png,lanczos,117.7355,10.8506,4.4549,27.4217,0.986524,98.25
barrel_distortion.png,sharpened_lanczos,162.0857,12.7313,6.1015,26.0334,0.982890,97.61
brightness_contrast.png,nearest,459.0688,21.4259,9.3319,21.5120,0.975405,96.34
brightness_contrast.png,bilinear,377.7893,19.4368,9.6813,22.3583,0.979041,96.20
brightness_contrast.png,bicubic,248.7175,15.7708,7.3386,24.1737,0.986489,97.12
brightness_contrast.png,lanczos,201.3507,14.1898,6.5058,25.0913,0.989125,97.45
brightness_contrast.png,sharpened_lanczos,183.1206,13.5322,6.0647,25.5034,0.990574,97.62
gaussian_blur.png,nearest,11.9052,3.4504,2.1121,37.3734,0.998191,99.17
gaussian_blur.png,bilinear,0.9746,0.9872,0.5990,48.2426,0.999851,99.77
gaussian_blur.png,bicubic,0.2500,0.5000,0.2454,54.1517,0.999962,99.90
gaussian_blur.png,lanczos,0.2723,0.5218,0.2646,53.7800,0.999959,99.90
gaussian_blur.png,sharpened_lanczos,2.6198,1.6186,0.6573,43.9481,0.999604,99.74
gaussian_noise.png,nearest,503.9519,22.4489,16.0468,21.1069,0.960725,93.71
gaussian_noise.png,bilinear,465.5869,21.5775,16.0992,21.4508,0.964740,93.69
gaussian_noise.png,bicubic,391.7885,19.7936,14.8570,22.2003,0.973542,94.17
gaussian_noise.png,lanczos,364.5309,19.0927,14.3969,22.5135,0.976771,94.35
gaussian_noise.png,sharpened_lanczos,427.4339,20.6745,15.0389,21.8221,0.972509,94.10
clean.png,nearest,220.8784,14.8620,7.1610,24.6893,0.976723,97.19
clean.png,bilinear,163.4758,12.7858,6.3842,25.9963,0.982120,97.50
clean.png,bicubic,97.3954,9.8689,4.8489,28.2454,0.989627,98.10
clean.png,lanczos,70.9715,8.4245,4.1371,29.6200,0.992508,98.38
clean.png,sharpened_lanczos,133.6529,11.5608,6.3612,26.8710,0.987052,97.51
perspective_warp.png,nearest,228.4260,15.1138,6.3967,24.5433,0.972241,97.49
perspective_warp.png,bilinear,186.6952,13.6636,6.0263,25.4195,0.976459,97.64
perspective_warp.png,bicubic,122.8017,11.0816,4.8088,27.2388,0.984903,98.11
perspective_warp.png,lanczos,95.4369,9.7692,4.2426,28.3336,0.988371,98.34
perspective_warp.png,sharpened_lanczos,141.0977,11.8785,5.6737,26.6356,0.984208,97.78
pixelation.png,nearest,29.0608,5.3908,1.9992,33.4977,0.994867,99.22
pixelation.png,bilinear,26.7477,5.1718,2.3374,33.8579,0.995254,99.08
pixelation.png,bicubic,22.6048,4.7545,2.0959,34.5888,0.996001,99.18
pixelation.png,lanczos,21.6550,4.6535,2.2159,34.7752,0.996174,99.13
pixelation.png,sharpened_lanczos,29.6568,5.4458,2.8614,33.4096,0.994839,98.88
rotation.png,nearest,236.1376,15.3668,7.3767,24.3992,0.975320,97.11
rotation.png,bilinear,176.8008,13.2966,6.6648,25.6560,0.980798,97.39
rotation.png,bicubic,107.4494,10.3658,5.0981,27.8188,0.988644,98.00
rotation.png,lanczos,79.8725,8.9371,4.3741,29.1068,0.991634,98.28
rotation.png,sharpened_lanczos,141.7831,11.9073,6.4859,26.6146,0.986387,97.46
salt_and_pepper.png,nearest,1033.6879,32.1510,14.4041,17.9869,0.895458,94.35
salt_and_pepper.png,bilinear,1031.0775,32.1104,13.9857,17.9979,0.891302,94.52
salt_and_pepper.png,bicubic,935.3956,30.5842,12.7061,18.4209,0.903975,95.02
salt_and_pepper.png,lanczos,902.8881,30.0481,12.3371,18.5745,0.908109,95.16
salt_and_pepper.png,sharpened_lanczos,936.5870,30.6037,15.0658,18.4153,0.913129,94.09
