Super-Resolution on Distortions Images Compared To Original Clean Image

image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
barrel_distortion.png,nearest,2243.8628,47.3694,22.8523,14.6208,0.749762,91.04
barrel_distortion.png,bilinear,2012.9774,44.8662,21.4744,15.0924,0.768153,91.58
barrel_distortion.png,bicubic,2141.5610,46.2770,22.1747,14.8235,0.758747,91.30
barrel_distortion.png,lanczos,2193.6494,46.8364,22.4287,14.7191,0.754866,91.20
barrel_distortion.png,sharpened_lanczos,2790.2312,52.8226,26.0804,13.6744,0.715317,89.77
brightness_contrast.png,nearest,1676.3445,40.9432,24.6593,15.8872,0.863266,90.33
brightness_contrast.png,bilinear,1411.4667,37.5695,23.6471,16.6341,0.878036,90.73
brightness_contrast.png,bicubic,1447.2535,38.0428,23.5334,16.5254,0.877554,90.77
brightness_contrast.png,lanczos,1454.3341,38.1357,23.5134,16.5042,0.877567,90.78
brightness_contrast.png,sharpened_lanczos,1819.9573,42.6610,25.6889,15.5302,0.858578,89.93
gaussian_blur.png,nearest,965.6611,31.0751,17.5108,18.2826,0.881254,93.13
gaussian_blur.png,bilinear,976.9081,31.2555,17.7041,18.2323,0.879503,93.06
gaussian_blur.png,bicubic,946.1782,30.7600,17.3228,18.3711,0.883634,93.21
gaussian_blur.png,lanczos,940.5980,30.6692,17.2614,18.3968,0.884357,93.23
gaussian_blur.png,sharpened_lanczos,897.3318,29.9555,16.8774,18.6013,0.890215,93.38
gaussian_noise.png,nearest,320.6220,17.9059,12.4890,23.0709,0.967347,95.10
gaussian_noise.png,bilinear,246.3849,15.6967,11.4191,24.2147,0.972568,95.52
gaussian_noise.png,bicubic,188.6948,13.7366,10.3075,25.3732,0.980754,95.96
gaussian_noise.png,lanczos,169.1051,13.0040,9.9755,25.8492,0.983569,96.09
gaussian_noise.png,sharpened_lanczos,310.0460,17.6081,13.1778,23.2165,0.975510,94.83
clean.png,nearest,220.8784,14.8620,7.1610,24.6893,0.976723,97.19
clean.png,bilinear,163.4758,12.7858,6.3842,25.9963,0.982120,97.50
clean.png,bicubic,97.3954,9.8689,4.8489,28.2454,0.989627,98.10
clean.png,lanczos,70.9715,8.4245,4.1371,29.6200,0.992508,98.38
clean.png,sharpened_lanczos,133.6529,11.5608,6.3612,26.8710,0.987052,97.51
perspective_warp.png,nearest,3931.0962,62.6985,34.9027,12.1857,0.553186,86.31
perspective_warp.png,bilinear,3623.5459,60.1959,33.3070,12.5395,0.573725,86.94
perspective_warp.png,bicubic,3834.8474,61.9261,34.4373,12.2933,0.559452,86.50
perspective_warp.png,lanczos,3908.8716,62.5210,34.8191,12.2103,0.554859,86.35
perspective_warp.png,sharpened_lanczos,4680.3306,68.4129,38.5619,11.4280,0.513948,84.88
pixelation.png,nearest,1806.9668,42.5084,25.7326,15.5613,0.764025,89.91
pixelation.png,bilinear,1783.8193,42.2353,25.6147,15.6173,0.766255,89.96
pixelation.png,bicubic,1795.1514,42.3692,25.6504,15.5898,0.765300,89.94
pixelation.png,lanczos,1801.0791,42.4391,25.6974,15.5755,0.764747,89.92
pixelation.png,sharpened_lanczos,1862.7449,43.1595,26.1279,15.4293,0.759406,89.75
rotation.png,nearest,3949.2874,62.8434,35.6770,12.1656,0.585127,86.01
rotation.png,bilinear,3608.4553,60.0704,34.4236,12.5576,0.606055,86.50
rotation.png,bicubic,3835.6038,61.9323,35.3017,12.2925,0.592551,86.16
rotation.png,lanczos,3915.6904,62.5755,35.6167,12.2027,0.587830,86.03
rotation.png,sharpened_lanczos,4783.7642,69.1648,39.3168,11.3331,0.541357,84.58
salt_and_pepper.png,nearest,408.6971,20.2163,11.4336,22.0168,0.955246,95.52
salt_and_pepper.png,bilinear,285.4232,16.8945,10.4038,23.5759,0.967163,95.92
salt_and_pepper.png,bicubic,252.2808,15.8833,9.4257,24.1120,0.971681,96.30
salt_and_pepper.png,lanczos,244.1036,15.6238,9.1749,24.2551,0.972772,96.40
salt_and_pepper.png,sharpened_lanczos,536.5887,23.1644,13.2435,20.8344,0.945741,94.81
