Super-Resolution on Restoration Images Compared To Original Clean Image

image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
barrel_distortion_restored.png,nearest,979.2551,31.2931,14.4727,18.2218,0.896258,94.32
barrel_distortion_restored.png,bilinear,788.9447,28.0882,13.7080,19.1603,0.913340,94.62
barrel_distortion_restored.png,bicubic,850.8873,29.1700,13.8948,18.8321,0.908965,94.55
barrel_distortion_restored.png,lanczos,883.7492,29.7279,14.0588,18.6675,0.906243,94.49
barrel_distortion_restored.png,sharpened_lanczos,1299.9346,36.0546,17.1475,16.9916,0.873858,93.28
brightness_contrast_restored.png,nearest,1047.7456,32.3689,22.7677,17.9282,0.897412,91.07
brightness_contrast_restored.png,bilinear,897.2909,29.9548,22.5644,18.6015,0.908157,91.15
brightness_contrast_restored.png,bicubic,885.0305,29.7495,21.9984,18.6612,0.910462,91.37
brightness_contrast_restored.png,lanczos,881.7557,29.6944,21.8757,18.6773,0.911126,91.42
brightness_contrast_restored.png,sharpened_lanczos,1235.2305,35.1458,24.4276,17.2133,0.887612,90.42
gaussian_blur_restored.png,nearest,682.9805,26.1339,14.2652,19.7867,0.921915,94.41
gaussian_blur_restored.png,bilinear,679.9738,26.0763,14.2865,19.8059,0.921561,94.40
gaussian_blur_restored.png,bicubic,646.3363,25.4231,13.8843,20.0262,0.926047,94.56
gaussian_blur_restored.png,lanczos,637.7358,25.2534,13.7789,20.0844,0.927117,94.60
gaussian_blur_restored.png,sharpened_lanczos,567.0397,23.8126,13.0975,20.5947,0.936772,94.86
gaussian_noise_restored.png,nearest,339.5020,18.4256,12.6820,22.8224,0.962440,95.03
gaussian_noise_restored.png,bilinear,312.9300,17.6898,12.4613,23.1763,0.963867,95.11
gaussian_noise_restored.png,bicubic,248.5697,15.7661,11.2889,24.1763,0.972366,95.57
gaussian_noise_restored.png,lanczos,223.8457,14.9615,10.8758,24.6313,0.975503,95.73
gaussian_noise_restored.png,sharpened_lanczos,202.5039,14.2304,10.9154,25.0665,0.980806,95.72
perspective_warp_restored.png,nearest,225.5221,15.0174,7.3421,24.5989,0.976386,97.12
perspective_warp_restored.png,bilinear,148.6739,12.1932,6.0525,26.4085,0.983796,97.63
perspective_warp_restored.png,bicubic,89.6548,9.4686,4.6960,28.6051,0.990494,98.16
perspective_warp_restored.png,lanczos,66.1642,8.1341,4.0687,29.9246,0.993052,98.40
perspective_warp_restored.png,sharpened_lanczos,176.5851,13.2885,7.4112,25.6613,0.983149,97.09
pixelation_restored.png,nearest,1882.3013,43.3855,26.3601,15.3839,0.756928,89.66
pixelation_restored.png,bilinear,1827.4486,42.7487,26.0064,15.5124,0.762211,89.80
pixelation_restored.png,bicubic,1855.9264,43.0805,26.1681,15.4452,0.759654,89.74
pixelation_restored.png,lanczos,1870.0109,43.2436,26.2861,15.4124,0.758197,89.69
pixelation_restored.png,sharpened_lanczos,2048.7932,45.2636,27.5878,15.0158,0.741696,89.18
rotation_restored.png,nearest,223.9990,14.9666,7.3198,24.6283,0.976536,97.13
rotation_restored.png,bilinear,147.8954,12.1612,6.0442,26.4313,0.983873,97.63
rotation_restored.png,bicubic,88.3866,9.4014,4.6625,28.6669,0.990622,98.17
rotation_restored.png,lanczos,64.6592,8.0411,4.0280,30.0245,0.993205,98.42
rotation_restored.png,sharpened_lanczos,173.8463,13.1851,7.3763,25.7291,0.983406,97.11
salt_and_pepper_restored.png,nearest,249.3695,15.7914,7.6088,24.1624,0.973281,97.02
salt_and_pepper_restored.png,bilinear,217.0715,14.7333,7.3221,24.7648,0.976024,97.13
salt_and_pepper_restored.png,bicubic,146.2240,12.0923,5.9054,26.4806,0.984205,97.68
salt_and_pepper_restored.png,lanczos,117.1487,10.8235,5.2511,27.4434,0.987438,97.94
salt_and_pepper_restored.png,sharpened_lanczos,101.7679,10.0880,5.4301,28.0547,0.989943,97.87
