epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,202.968,1.51776,2.85142,1.64566,1.2309,0,0.80233,0.67356,0.73868,0.43781,0.77915,0.65302,0.69165,0.38069,1.43553,2.59148,1.29207,1.18535,0,0.000665278,0.000665278,0.000665278
2,411.33,1.40455,2.43077,1.11594,1.16276,0,0.8811,0.68319,0.77538,0.46004,0.86116,0.66835,0.74076,0.40134,1.36524,2.57711,1.0647,1.15757,0,0.00120008,0.00120008,0.00120008
3,614.718,1.35922,2.32441,1.01832,1.13592,0,0.87228,0.73491,0.8013,0.49492,0.88184,0.70259,0.77714,0.42395,1.33468,2.38851,0.97612,1.13487,0,0.00160289,0.00160289,0.00160289
4,820.395,1.29552,2.22676,0.93319,1.09027,0,0.87234,0.70688,0.78862,0.47571,0.85497,0.69877,0.75716,0.4293,1.37746,2.41203,0.94701,1.13544,0,0.001406,0.001406,0.001406
5,1042.84,1.23124,2.13109,0.841,1.06829,0,0.92196,0.74784,0.83847,0.54677,0.89792,0.72845,0.81511,0.48232,1.2088,2.21306,0.78014,1.0565,0,0.001208,0.001208,0.001208
6,1254.27,1.18363,2.04501,0.76957,1.04761,0,0.95032,0.74569,0.85361,0.55442,0.9312,0.72927,0.81724,0.47878,1.17276,2.23952,0.74798,1.04472,0,0.00101,0.00101,0.00101
7,1455.98,1.13063,1.98364,0.71754,1.0175,0,0.94381,0.76078,0.86806,0.5786,0.91997,0.74328,0.83088,0.48561,1.14071,2.22103,0.71992,1.02797,0,0.000812,0.000812,0.000812
8,1654.82,1.09295,1.95845,0.68494,1.01283,0,0.92163,0.78568,0.86423,0.58618,0.89115,0.76509,0.83041,0.50339,1.10738,2.12241,0.67223,1.00743,0,0.000614,0.000614,0.000614
9,1857.23,1.0499,1.87963,0.64854,0.98576,0,0.93164,0.78664,0.87493,0.60619,0.91319,0.74819,0.83258,0.52188,1.05803,2.04537,0.63545,0.99195,0,0.000416,0.000416,0.000416
10,2056.94,1.0212,1.83383,0.61901,0.96948,0,0.97003,0.76722,0.88772,0.61614,0.95764,0.74784,0.85081,0.5248,1.02931,2.03246,0.61039,0.97117,0,0.000218,0.000218,0.000218
