epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,193.042,1.52871,2.87041,1.65006,1.23221,0,0.76894,0.6957,0.72756,0.43591,0.73885,0.66164,0.68169,0.36749,1.39557,2.63089,1.27517,1.17576,0,0.000665278,0.000665278,0.000665278
2,375.102,1.40188,2.4535,1.13548,1.15286,0,0.92836,0.69828,0.79419,0.49024,0.89635,0.67095,0.73791,0.40726,1.2972,2.70188,1.06456,1.11063,0,0.00120008,0.00120008,0.00120008
3,555.879,1.3499,2.31295,0.98389,1.12785,0,0.92436,0.71116,0.81147,0.50032,0.92112,0.67953,0.76743,0.42421,1.33008,2.43824,0.98531,1.11536,0,0.00160289,0.00160289,0.00160289
4,735.239,1.29147,2.23966,0.90789,1.08847,0,0.89252,0.73379,0.81215,0.50942,0.88858,0.72186,0.77352,0.43918,1.25411,2.41161,0.88589,1.06914,0,0.001406,0.001406,0.001406
5,916.808,1.24317,2.12441,0.84038,1.07638,0,0.92934,0.76532,0.85017,0.54697,0.89569,0.75873,0.81798,0.47574,1.20761,2.26313,0.76455,1.04535,0,0.001208,0.001208,0.001208
6,1106.21,1.19331,2.03754,0.77355,1.04181,0,0.91722,0.74024,0.85351,0.53698,0.88747,0.73083,0.81736,0.46802,1.20548,2.26455,0.76675,1.04253,0,0.00101,0.00101,0.00101
7,1287.28,1.15777,1.98734,0.72066,1.02379,0,0.90663,0.79524,0.86752,0.57215,0.89219,0.7669,0.83583,0.48524,1.17016,2.27127,0.70067,1.03978,0,0.000812,0.000812,0.000812
8,1467.28,1.10754,1.96136,0.67992,1.01464,0,0.88861,0.79087,0.86925,0.59322,0.90119,0.74692,0.83378,0.50681,1.0887,2.139,0.67591,0.99135,0,0.000614,0.000614,0.000614
9,1646.55,1.07224,1.90067,0.64424,0.99386,0,0.91794,0.80819,0.882,0.59873,0.9214,0.78322,0.85439,0.52434,1.10282,2.05608,0.63643,0.99508,0,0.000416,0.000416,0.000416
10,1826.98,1.03904,1.83842,0.61786,0.97212,0,0.90486,0.81987,0.88424,0.60436,0.89337,0.78879,0.85656,0.51251,1.06513,2.09168,0.62761,0.97896,0,0.000218,0.000218,0.000218
