epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,206.082,1.63205,3.05795,1.71853,1.30113,0,0.779,0.62716,0.67698,0.38377,0.70404,0.56681,0.5827,0.23847,1.57384,3.36269,1.59384,1.24564,0,0.000665278,0.000665278,0.000665278
2,402.333,1.5121,2.69973,1.19797,1.21779,0,0.8111,0.70332,0.75797,0.4222,0.77146,0.66379,0.69157,0.34861,1.48179,2.93816,1.16604,1.18375,0,0.00120008,0.00120008,0.00120008
3,599.152,1.46088,2.57842,1.07139,1.19988,0,0.86054,0.70905,0.77275,0.46109,0.86595,0.68103,0.72606,0.37458,1.39306,2.74386,1.04678,1.14771,0,0.00160289,0.00160289,0.00160289
4,795.587,1.41572,2.456,0.98565,1.15215,0,0.84955,0.69368,0.78032,0.46775,0.84382,0.67672,0.74599,0.40514,1.39732,2.74674,0.92002,1.13348,0,0.001406,0.001406,0.001406
5,992.222,1.34661,2.39178,0.89259,1.12602,0,0.90327,0.7245,0.806,0.50877,0.88383,0.70905,0.77385,0.42923,1.28854,2.44601,0.84629,1.09914,0,0.001208,0.001208,0.001208
6,1190.69,1.29991,2.277,0.83399,1.1065,0,0.91147,0.71002,0.81911,0.52638,0.92105,0.67883,0.78588,0.44774,1.25489,2.40468,0.80495,1.09289,0,0.00101,0.00101,0.00101
7,1386.82,1.26364,2.23548,0.78008,1.07834,0,0.93848,0.75618,0.84853,0.54033,0.92243,0.74325,0.81168,0.44972,1.2668,2.48414,0.73987,1.09261,0,0.000812,0.000812,0.000812
8,1585.07,1.22883,2.19534,0.75225,1.07368,0,0.88368,0.7694,0.84476,0.54442,0.89353,0.74156,0.80426,0.46043,1.2519,2.34614,0.72403,1.05708,0,0.000614,0.000614,0.000614
9,1783.34,1.18541,2.1617,0.70777,1.04496,0,0.9231,0.77371,0.85802,0.56375,0.92484,0.74253,0.82021,0.47978,1.18575,2.28019,0.67895,1.04286,0,0.000416,0.000416,0.000416
10,1981.45,1.14786,2.09238,0.66762,1.02232,0,0.93158,0.7694,0.86429,0.57091,0.91239,0.74569,0.83075,0.48067,1.17729,2.23873,0.66279,1.03362,0,0.000218,0.000218,0.000218
