epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,199.546,1.53687,2.86986,1.64867,1.24053,0,0.83299,0.62716,0.68959,0.3941,0.80229,0.60345,0.64628,0.323,1.46705,2.75902,1.28589,1.2005,0,0.000665278,0.000665278,0.000665278
2,392.794,1.40375,2.44937,1.12785,1.15148,0,0.83837,0.70905,0.77933,0.48251,0.89023,0.64009,0.73231,0.40175,1.31713,2.72113,1.06397,1.08458,0,0.00120008,0.00120008,0.00120008
3,588.077,1.36538,2.2976,1.00909,1.12457,0,0.81806,0.74353,0.80117,0.50096,0.82611,0.67576,0.75002,0.43618,1.33148,2.38472,0.96124,1.12079,0,0.00160289,0.00160289,0.00160289
4,780.067,1.31551,2.22616,0.94091,1.10009,0,0.89055,0.75405,0.82054,0.51277,0.86043,0.73076,0.77832,0.44257,1.25594,2.41877,0.88785,1.07905,0,0.001406,0.001406,0.001406
5,970.303,1.2527,2.14079,0.85097,1.07329,0,0.91528,0.76835,0.84061,0.54102,0.89376,0.74336,0.81549,0.48345,1.20944,2.29731,0.80842,1.04543,0,0.001208,0.001208,0.001208
6,1160.96,1.17904,2.05912,0.77733,1.04325,0,0.89288,0.74569,0.8544,0.55869,0.90634,0.71552,0.8149,0.47245,1.16475,2.27219,0.75999,1.04149,0,0.00101,0.00101,0.00101
7,1349.56,1.15083,2.00811,0.74467,1.02107,0,0.94219,0.78879,0.86822,0.57961,0.9256,0.76078,0.831,0.47397,1.16112,2.27671,0.70739,1.03453,0,0.000812,0.000812,0.000812
8,1537.63,1.10727,1.97114,0.68688,1.01589,0,0.92818,0.79526,0.87807,0.59703,0.90594,0.76808,0.83453,0.50701,1.11731,2.14805,0.65802,1.00942,0,0.000614,0.000614,0.000614
9,1725.36,1.06285,1.89151,0.64799,0.98725,0,0.93193,0.79741,0.87347,0.60419,0.9159,0.7694,0.84446,0.50973,1.07798,2.09694,0.63329,0.99234,0,0.000416,0.000416,0.000416
10,1913.8,1.03135,1.84258,0.62125,0.97309,0,0.91198,0.81681,0.89138,0.62148,0.89228,0.78448,0.85906,0.51798,1.04755,2.08857,0.60668,0.96695,0,0.000218,0.000218,0.000218
