epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,216.785,1.70291,3.22508,1.82763,1.35782,0,0.79255,0.62284,0.67594,0.36825,0.75152,0.56897,0.60501,0.28705,1.5872,3.10696,1.37938,1.28523,0,0.000665278,0.000665278,0.000665278
2,419.641,1.5667,2.78257,1.26588,1.24555,0,0.81306,0.63793,0.71894,0.41581,0.78834,0.61853,0.6672,0.34615,1.52873,2.96828,1.17248,1.20736,0,0.00120008,0.00120008,0.00120008
3,617.821,1.49347,2.63765,1.1247,1.19601,0,0.78783,0.66421,0.71216,0.41529,0.84985,0.59267,0.6762,0.34119,1.51047,2.90469,1.13459,1.25305,0,0.00160289,0.00160289,0.00160289
4,818.776,1.48996,2.56657,1.04791,1.17735,0,0.83116,0.67457,0.74025,0.42424,0.81764,0.66677,0.72392,0.37465,1.54567,2.75399,1.01639,1.1996,0,0.001406,0.001406,0.001406
5,1024.51,1.42729,2.52709,0.95473,1.15977,0,0.83916,0.70043,0.77485,0.46707,0.90149,0.64655,0.74588,0.40399,1.39911,2.65104,0.90405,1.13769,0,0.001208,0.001208,0.001208
6,1220.07,1.38977,2.42913,0.90722,1.13909,0,0.83014,0.70905,0.76644,0.456,0.81823,0.68882,0.73623,0.38396,1.40403,2.75257,0.8792,1.12435,0,0.00101,0.00101,0.00101
7,1413.27,1.33986,2.36382,0.84577,1.09787,0,0.90271,0.70259,0.79258,0.48922,0.92256,0.69325,0.76321,0.40619,1.37074,2.69587,0.83152,1.12651,0,0.000812,0.000812,0.000812
8,1608.11,1.28949,2.31673,0.80291,1.09191,0,0.9145,0.71456,0.80974,0.51118,0.90963,0.69422,0.78355,0.42541,1.30471,2.48821,0.78319,1.09,0,0.000614,0.000614,0.000614
9,1805.02,1.25204,2.29068,0.757,1.06268,0,0.88118,0.73519,0.8175,0.5184,0.87909,0.71552,0.777,0.44176,1.32488,2.51565,0.7539,1.08067,0,0.000416,0.000416,0.000416
10,2004.58,1.2164,2.21597,0.72518,1.0461,0,0.89507,0.72198,0.81732,0.53268,0.89772,0.69988,0.77462,0.44159,1.26723,2.51449,0.73116,1.06535,0,0.000218,0.000218,0.000218
