epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,192.121,1.6959,3.20668,1.78039,1.35126,0,0.83745,0.59959,0.6781,0.37192,0.81337,0.58235,0.63311,0.29506,1.59903,3.02446,1.39294,1.29626,0,0.000665278,0.000665278,0.000665278
2,386.398,1.56229,2.75867,1.25377,1.23565,0,0.80874,0.6681,0.7395,0.41101,0.80704,0.66164,0.70586,0.3668,1.53228,2.89936,1.21954,1.2344,0,0.00120008,0.00120008,0.00120008
3,588.333,1.50498,2.62564,1.09173,1.20377,0,0.79063,0.67888,0.73342,0.42304,0.83037,0.63147,0.68927,0.35491,1.50747,2.85618,1.06001,1.20549,0,0.00160289,0.00160289,0.00160289
4,784.799,1.46309,2.55861,1.01472,1.17058,0,0.87573,0.72414,0.77517,0.44683,0.85808,0.6906,0.73661,0.38767,1.45316,2.7217,0.99286,1.17385,0,0.001406,0.001406,0.001406
5,981.493,1.42657,2.49185,0.94601,1.16264,0,0.89206,0.71245,0.79599,0.48256,0.83784,0.71263,0.75375,0.40938,1.38051,2.66807,0.92131,1.13611,0,0.001208,0.001208,0.001208
6,1177.82,1.35991,2.38823,0.88401,1.12894,0,0.87309,0.70474,0.78979,0.49618,0.87305,0.68319,0.74806,0.40914,1.335,2.63149,0.87906,1.12205,0,0.00101,0.00101,0.00101
7,1374.15,1.3043,2.32993,0.81976,1.0947,0,0.83018,0.73707,0.79771,0.49423,0.86166,0.67888,0.75071,0.40097,1.31838,2.72897,0.82848,1.11456,0,0.000812,0.000812,0.000812
8,1570.02,1.27819,2.27257,0.7756,1.09168,0,0.89205,0.74569,0.82323,0.51877,0.8824,0.70905,0.78004,0.42806,1.29368,2.53528,0.76606,1.07669,0,0.000614,0.000614,0.000614
9,1767.5,1.23108,2.25874,0.73975,1.05861,0,0.9112,0.75191,0.83214,0.53004,0.88662,0.72198,0.78795,0.44181,1.26086,2.53755,0.72989,1.06898,0,0.000416,0.000416,0.000416
10,1963.97,1.20058,2.18628,0.70512,1.0448,0,0.8975,0.75216,0.83019,0.54166,0.87313,0.72629,0.78161,0.44265,1.22533,2.4911,0.70917,1.05568,0,0.000218,0.000218,0.000218
