Super-Resolution on Distortions Images

image,method,mse,psnr
barrel_distortion.png,nearest,238.9933,24.3469
barrel_distortion.png,bilinear,199.5262,25.1308
barrel_distortion.png,bicubic,141.3816,26.6269
barrel_distortion.png,lanczos,117.7355,27.4217
barrel_distortion.png,sharpened_lanczos,162.0857,26.0334
brightness_contrast.png,nearest,459.0688,21.5120
brightness_contrast.png,bilinear,377.7893,22.3583
brightness_contrast.png,bicubic,248.7175,24.1737
brightness_contrast.png,lanczos,201.3507,25.0913
brightness_contrast.png,sharpened_lanczos,183.1206,25.5034
gaussian_blur.png,nearest,11.9052,37.3734
gaussian_blur.png,bilinear,0.9746,48.2426
gaussian_blur.png,bicubic,0.2500,54.1517
gaussian_blur.png,lanczos,0.2723,53.7800
gaussian_blur.png,sharpened_lanczos,2.6198,43.9481
gaussian_noise.png,nearest,503.9519,21.1069
gaussian_noise.png,bilinear,465.5869,21.4508
gaussian_noise.png,bicubic,391.7885,22.2003
gaussian_noise.png,lanczos,364.5309,22.5135
gaussian_noise.png,sharpened_lanczos,427.4339,21.8221
original.png,nearest,220.8784,24.6893
original.png,bilinear,163.4758,25.9963
original.png,bicubic,97.3954,28.2454
original.png,lanczos,70.9715,29.6200
original.png,sharpened_lanczos,133.6529,26.8710
perspective_warp.png,nearest,228.4260,24.5433
perspective_warp.png,bilinear,186.6952,25.4195
perspective_warp.png,bicubic,122.8017,27.2388
perspective_warp.png,lanczos,95.4369,28.3336
perspective_warp.png,sharpened_lanczos,141.0977,26.6356
pixelation.png,nearest,29.0608,33.4977
pixelation.png,bilinear,26.7477,33.8579
pixelation.png,bicubic,22.6048,34.5888
pixelation.png,lanczos,21.6550,34.7752
pixelation.png,sharpened_lanczos,29.6568,33.4096
rotation.png,nearest,236.1376,24.3992
rotation.png,bilinear,176.8008,25.6560
rotation.png,bicubic,107.4494,27.8188
rotation.png,lanczos,79.8725,29.1068
rotation.png,sharpened_lanczos,141.7831,26.6146
salt_and_pepper.png,nearest,1033.6879,17.9869
salt_and_pepper.png,bilinear,1031.0775,17.9979
salt_and_pepper.png,bicubic,935.3956,18.4209
salt_and_pepper.png,lanczos,902.8881,18.5745
salt_and_pepper.png,sharpened_lanczos,936.5870,18.4153
