Super-Resolution on Restoration Images

image,method,mse,psnr
barrel_distortion_restored.png,nearest,268.8442,23.8358
barrel_distortion_restored.png,bilinear,207.5214,24.9602
barrel_distortion_restored.png,bicubic,147.0742,26.4554
barrel_distortion_restored.png,lanczos,123.3784,27.2184
barrel_distortion_restored.png,sharpened_lanczos,181.8016,25.5348
brightness_contrast_restored.png,nearest,332.0726,22.9185
brightness_contrast_restored.png,bilinear,261.2013,23.9611
brightness_contrast_restored.png,bicubic,173.7884,25.7306
brightness_contrast_restored.png,lanczos,143.0277,26.5766
brightness_contrast_restored.png,sharpened_lanczos,193.8731,25.2556
gaussian_blur_restored.png,nearest,33.0978,32.9328
gaussian_blur_restored.png,bilinear,6.3206,40.1232
gaussian_blur_restored.png,bicubic,3.0062,43.3507
gaussian_blur_restored.png,lanczos,2.7949,43.6671
gaussian_blur_restored.png,sharpened_lanczos,18.5203,35.4543
gaussian_noise_restored.png,nearest,113.7919,27.5697
gaussian_noise_restored.png,bilinear,52.5535,30.9248
gaussian_noise_restored.png,bicubic,20.4333,35.0274
gaussian_noise_restored.png,lanczos,10.4267,37.9494
gaussian_noise_restored.png,sharpened_lanczos,106.0436,27.8760
perspective_warp_restored.png,nearest,242.2736,24.2877
perspective_warp_restored.png,bilinear,180.4113,25.5682
perspective_warp_restored.png,bicubic,104.9008,27.9230
perspective_warp_restored.png,lanczos,73.5474,29.4651
perspective_warp_restored.png,sharpened_lanczos,136.4904,26.7798
pixelation_restored.png,nearest,105.8688,27.8831
pixelation_restored.png,bilinear,112.5485,27.6174
pixelation_restored.png,bicubic,99.8036,28.1393
pixelation_restored.png,lanczos,97.2264,28.2530
pixelation_restored.png,sharpened_lanczos,111.0385,27.6761
rotation_restored.png,nearest,245.6929,24.2269
rotation_restored.png,bilinear,185.5796,25.4455
rotation_restored.png,bicubic,109.7310,27.7275
rotation_restored.png,lanczos,78.3960,29.1879
rotation_restored.png,sharpened_lanczos,138.9962,26.7008
salt_and_pepper_restored.png,nearest,169.6124,25.8362
salt_and_pepper_restored.png,bilinear,112.5543,27.6172
salt_and_pepper_restored.png,bicubic,65.0733,29.9968
salt_and_pepper_restored.png,lanczos,47.1880,31.3925
salt_and_pepper_restored.png,sharpened_lanczos,110.7883,27.6859
